fiscal_year_label,fiscal_year,fiscal_year_is_partial,month_abbr,month_num,calendar_year,calendar_month_label,calendar_month_start,component,region,land_filter,area_of_responsibility,aor_type,drug_type,count_of_event,sum_qty_lbs,source_file
2019,2019,false,DEC,12,2018,2018-12,2018-12-01,U.S. Border Patrol,Southwest Border,Land Only,EL PASO SECTOR,Sector,Fentanyl,1,0.0088,nationwide-drugs-fy19-fy22.csv
2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Coastal/Interior,Other,CHICAGO FIELD OFFICE,Field Office,Fentanyl,1,0.0330693393,nationwide-drugs-fy19-fy22.csv
2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Field Office,Fentanyl,6,0.1701086813592,nationwide-drugs-fy19-fy22.csv
2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Field Office,Fentanyl,1,26.3231940828,nationwide-drugs-fy19-fy22.csv
2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Coastal/Interior,Other,MIAMI FIELD OFFICE,Field Office,Fentanyl,8,0.0108908357428,nationwide-drugs-fy19-fy22.csv
2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Coastal/Interior,Other,NEW ORLEANS FIELD OFFICE,Field Office,Fentanyl,1,0.0508826900696,nationwide-drugs-fy19-fy22.csv
2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Coastal/Interior,Other,NEW YORK FIELD OFFICE,Field Office,Fentanyl,1,0.04629707502,nationwide-drugs-fy19-fy22.csv
2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Field Office,Fentanyl,8,61.126028148906,nationwide-drugs-fy19-fy22.csv
2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Field Office,Fentanyl,1,0.8157103694,nationwide-drugs-fy19-fy22.csv
2019,2019,false,JAN,1,2019,2019-01,2019-01-01,Office of Field Operations,Southwest Border,Land Only,TUCSON FIELD OFFICE,Field Office,Fentanyl,10,268.05741881865595,nationwide-drugs-fy19-fy22.csv
