Table 3. State Counts for Fentanyl and Fentanyl-Related Substances: 2021,,,,,,,,,,,,,,
"Counts of fentanyl and fentanyl-related compounds submitted to laboratories from January 1, 2021, through December 31, 2021, and analyzed by March 31, 2022",,,,,,,,,,,,,,
Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,
4-Fluorophenethyl 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,0,
Acetyl fentanyl,15,41,86,5,134,57,19,42,256,27,65,14,28,
Acryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
ANPP,45,87,0,225,3,194,1,21,19,280,443,79,16,
Benzyl acryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Benzylfentanyl,0,0,0,0,0,1,0,0,0,0,0,0,0,
beta-Methyl acetyl fentanyl,0,1,0,0,0,0,0,0,0,0,0,0,0,
Butyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Carfentanil,0,0,0,0,2,3,0,0,1,0,0,0,0,
Chloro 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chlorofentanyl,0,2,0,0,1,0,0,0,7,0,0,0,0,
Cyclopropyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fentanyl,"5,914","2,791",655,976,"4,877","2,401",702,"4,101","6,355",630,"1,768",586,"5,276",
Fentanyl carbamate,0,0,0,0,0,0,0,0,1,0,0,0,0,
Fentanyl-related compound (unspecified),0,0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro 4-anilinopiperidine,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro 4-ANPP,0,0,0,0,0,0,0,0,0,0,15,0,12,
Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fluorofentanyl,15,19,28,103,677,81,0,4,"1,411",0,183,0,6,
Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fluorophenethyl 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,0,
N-Benzyl furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Furanyl fentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
meta-Fluoro 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,0,
meta-Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
meta-Methyl 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,0,
Methoxyacetyl fentanyl,1,0,0,0,0,0,0,0,0,0,0,0,0,
Methyl acetyl fentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0,
Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
N-(1-Phenethyl-4-piperidyl)-N-phenethylpropanamide,0,0,0,0,0,0,0,0,0,0,0,0,0,
N-Methyl norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
N-Phenyl-4-piperidinamine,0,0,0,0,0,0,0,0,0,0,0,0,0,
N-Propionyl norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
ortho-Chloro 4-ANPP,0,0,0,0,0,0,0,2,0,0,0,0,0,
ortho-Chlorofentanyl,0,0,0,0,2,0,0,1,0,0,0,0,0,
ortho-Fluoro 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,0,
ortho-Fluorofentanyl,0,11,0,0,1,2,0,0,0,0,0,1,1,
para-Chlorofentanyl,29,0,0,0,0,0,0,0,0,0,0,0,0,
para-Fluoro 4-ANPP,0,2,0,0,0,1,0,0,1,0,0,0,2,
para-Fluoro benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
para-Fluorobutyryl fentanyl,0,0,0,0,0,1,0,0,0,0,0,0,0,
para-Fluorofentanyl,226,123,44,9,68,110,8,75,75,48,3,46,465,
para-Fluoro furanyl fentanyl,0,0,0,0,0,0,0,77,21,0,0,0,2,
para-Fluoro valeryl fentanyl,0,0,0,0,0,0,0,0,1,0,0,0,0,
Phenethyl 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,0,
Phenyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tetrahydrothiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Valeryl fentanyl,1,1,0,0,8,0,0,0,9,1,1,0,1,
Drug,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,
1-Boc-4-(4-fluoroanilino)piperidine,0,0,0,0,0,0,0,0,0,0,0,0,0,
1-Boc-4-piperidone,0,0,0,0,0,0,0,0,0,0,0,0,0,
1-Phenethyl-4-hydroxypiperidine,0,0,0,0,0,0,0,0,0,0,0,0,0,
1-Phenethyl-4-propionyloxypiperidine,0,0,0,0,0,0,0,0,0,0,0,0,0,
1-Propionyl-4-anilinopiperidine,0,0,0,0,0,0,0,0,0,0,0,0,0,
3-Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
3-Methylfentanyl,0,0,0,0,0,0,0,0,0,1,0,0,5,
4-Carbomethoxy 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,0,
4-Fluoroisobutyryl fentanyl,0,0,0,0,2,0,1,0,0,2,0,0,0,
4-Fluorophenethyl 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,0,
Acetyl fentanyl,2,2,3,78,194,0,337,46,3,"1,212",1,12,361,
Acryl fentanyl,0,0,0,0,0,0,0,0,0,2,0,0,0,
ANPP,2,107,13,2,"4,863",13,992,699,0,"2,948",45,0,20,
Benzyl acryl fentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,
Benzylfentanyl,0,0,0,0,1,0,0,0,0,129,0,0,2,
beta-Methyl acetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Butyryl fentanyl,0,0,0,0,0,0,0,0,0,2,0,0,1,
Carfentanil,0,0,0,0,0,0,0,2,0,28,0,1,1,
Chloro 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chlorofentanyl,0,0,0,0,6,0,0,0,0,42,0,1,5,
Cyclopropyl fentanyl,0,0,0,0,0,0,0,0,0,1,0,4,0,
Fentanyl,269,177,280,"1,984","8,746","1,390","8,955","1,917",261,"20,584",606,594,"16,150",
Fentanyl carbamate,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fentanyl-related compound (unspecified),0,1,0,0,0,0,323,0,0,0,0,0,0,
Fluoro 4-anilinopiperidine,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fluoro 4-ANPP,0,0,0,0,71,0,0,18,0,1,0,0,108,
Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fluorofentanyl,0,0,5,176,"1,787",11,140,136,0,"2,551",0,52,"1,975",
Fluoro furanyl fentanyl,0,0,0,0,8,0,0,0,0,1,0,0,0,
Fluoroisobutyryl fentanyl,0,0,0,0,8,0,3,1,0,4,0,0,1,
Fluorophenethyl 4-ANPP,0,0,0,0,93,0,0,0,0,0,0,0,0,
N-Benzyl furanyl fentanyl,0,0,0,0,0,0,0,1,0,1,0,0,0,
Furanyl fentanyl,0,0,0,0,22,0,0,0,0,0,0,0,0,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
meta-Fluoro 4-ANPP,0,0,0,0,0,0,0,0,0,9,0,0,0,
meta-Fluorofentanyl,0,0,0,0,7,0,1,0,0,0,0,0,1,
meta-Methyl 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,0,
Methoxyacetyl fentanyl,0,0,0,0,1,0,0,3,0,0,0,0,1,
Methyl acetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
N-(1-Phenethyl-4-piperidyl)-N-phenethylpropanamide,0,0,0,0,0,0,0,0,0,0,0,0,0,
N-Methyl norfentanyl,0,0,0,0,1,0,0,1,0,4,0,0,0,
Norfentanyl,0,0,0,0,13,0,1,2,0,5,0,0,4,
N-Phenyl-4-piperidinamine,0,0,0,0,0,0,0,0,0,3,0,0,0,
N-Propionyl norfentanyl,0,0,0,0,2,0,0,0,0,0,0,0,0,
ortho-Chloro 4-ANPP,0,0,0,0,0,0,2,0,0,0,0,0,0,
ortho-Chlorofentanyl,0,0,1,0,0,1,2,0,0,33,0,0,0,
ortho-Fluoro 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,1,
ortho-Fluorofentanyl,0,0,0,0,1,0,1,1,0,0,0,0,0,
para-Chlorofentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,
para-Fluoro 4-ANPP,0,0,0,1,5,8,2,1,0,0,2,1,8,
para-Fluoro benzyl fentanyl,0,0,0,0,0,0,0,1,0,0,0,0,0,
para-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,
para-Fluorofentanyl,28,8,21,169,169,51,198,18,4,"2,246",29,25,"1,352",
para-Fluoro furanyl fentanyl,0,0,1,0,1,0,0,0,0,1,0,0,3,
para-Fluoro valeryl fentanyl,0,0,0,1,0,0,0,0,0,5,0,0,0,
Phenethyl 4-ANPP,0,0,0,0,748,0,7,71,0,0,0,0,0,
Phenyl fentanyl,0,0,0,0,0,0,0,0,0,71,0,0,0,
Tetrahydrothiofuranyl fentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0,
Valeryl fentanyl,0,0,1,3,21,0,2,1,0,59,0,0,22,
Drug,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,
1-Boc-4-(4-fluoroanilino)piperidine,0,0,0,0,0,0,0,0,0,0,0,0,,
1-Boc-4-piperidone,0,0,0,0,2,0,0,0,0,0,0,0,,
1-Phenethyl-4-hydroxypiperidine,0,0,0,0,0,0,0,0,0,0,0,0,,
1-Phenethyl-4-propionyloxypiperidine,0,0,0,0,0,0,0,0,0,0,0,0,,
1-Propionyl-4-anilinopiperidine,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
4-Carbomethoxy 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,,
4-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,1,0,0,0,0,,
4-Fluorophenethyl 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,,
Acetyl fentanyl,64,42,0,347,5,0,6,76,6,72,40,0,,
Acryl fentanyl,0,0,0,0,0,0,0,0,1,0,0,0,,
ANPP,2,1,7,"1,995",293,1,451,9,122,184,77,51,,
Benzyl acryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
Benzylfentanyl,0,0,0,2,0,0,0,0,0,1,0,0,,
beta-Methyl acetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
Butyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
Carfentanil,9,1,0,3,28,0,0,1,0,0,0,0,,
Chloro 4-ANPP,0,0,0,3,0,0,0,0,0,5,0,0,,
Chlorofentanyl,0,2,0,6,0,0,0,0,0,5,0,0,,
Cyclopropyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
Fentanyl,802,"1,806",18,"4,605","2,019",155,"1,137","6,872","1,185","2,808",972,122,,
Fentanyl carbamate,0,0,0,0,0,0,0,0,0,0,0,0,,
Fentanyl-related compound (unspecified),173,0,0,0,0,0,0,0,0,0,0,0,,
Fluoro 4-anilinopiperidine,0,0,0,0,0,0,0,0,0,0,0,0,,
Fluoro 4-ANPP,0,1,0,0,0,0,0,0,0,58,0,0,,
Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,231,0,0,,
Fluorofentanyl,0,164,1,294,13,0,119,5,27,0,35,2,,
Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
Fluoroisobutyryl fentanyl,0,5,0,0,0,0,0,0,0,0,0,0,,
Fluorophenethyl 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,,
N-Benzyl furanyl fentanyl,0,1,0,0,0,0,0,0,0,0,0,0,,
Furanyl fentanyl,0,0,0,0,0,0,0,1,2,0,0,0,,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,1,0,0,,
meta-Fluoro 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,,
meta-Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
meta-Methyl 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,,
Methoxyacetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
Methyl acetyl fentanyl,0,1,0,0,0,0,0,0,0,0,0,0,,
Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
N-(1-Phenethyl-4-piperidyl)-N-phenethylpropanamide,0,0,0,0,14,0,0,0,0,0,0,0,,
N-Methyl norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
Norfentanyl,0,4,0,0,0,0,0,0,0,2,0,0,,
N-Phenyl-4-piperidinamine,0,0,0,0,0,0,0,0,0,2,0,0,,
N-Propionyl norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
ortho-Chloro 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,,
ortho-Chlorofentanyl,2,0,0,6,0,0,0,1,1,0,0,0,,
ortho-Fluoro 4-ANPP,0,0,0,0,0,0,0,0,0,0,0,0,,
ortho-Fluorofentanyl,0,0,0,1,0,0,0,0,0,0,0,0,,
para-Chlorofentanyl,0,0,0,0,0,0,0,0,1,0,0,0,,
para-Fluoro 4-ANPP,0,0,0,81,8,0,0,0,1,0,0,0,,
para-Fluoro benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
para-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,1,0,0,0,0,,
para-Fluorofentanyl,124,4,0,477,93,9,5,543,64,22,32,0,,
para-Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
para-Fluoro valeryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,
