Table 3. State Counts for Fentanyl and Fentanyl-Related Compounds: 2018,,,,,,,,,,,,,,,
"Counts of fentanyl and fentanyl-related compounds submitted to laboratories from January 1, 2018, through December 31, 2018, and analyzed by March 31, 2019",,,,,,,,,,,,,,,
Drug,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,,
Despropionyl ortho-methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Despropionyl para-fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fentanyl,"4,654","1,622",307,76,"2,928",382,403,"5,419","8,287",940,352,158,"2,709",,
Fentanyl carbamate,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fluorobutyryl fentanyl ,0,0,0,0,0,0,0,1,0,0,0,0,1,,
Fluorobutyryl/fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,1,0,0,0,0,0,,
Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fluoroisobutyryl fentanyl,0,0,1,0,2,0,0,6,43,0,0,0,0,,
Furanyl fentanyl,68,4,10,0,11,1,0,11,58,0,24,0,1,,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Methoxyacetyl fentanyl,12,22,4,0,10,14,0,13,2,8,3,6,2,,
Methoxybutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Methyl acetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Methyl cyclopropyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
N-Methyl norfentanyl,0,0,0,0,0,1,0,0,2,0,0,0,0,,
Norfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ortho-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ortho-Methyl acetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
para-Fluoro benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
para-Fluoro cyclopropyl benzyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
para-Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
para-Fluorobutyryl fentanyl,1,0,0,0,0,0,0,0,0,0,0,0,0,,
para-Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Phenyl fentanyl,0,0,0,0,0,0,0,2,1,0,0,0,0,,
Sufentanil,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Thiofuranyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
trans-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Valeryl fentanyl,0,4,0,3,17,0,3,11,104,3,0,0,26,,
State,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,,
3-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,,
3-Methylfentanyl,0,0,0,0,5,0,0,0,0,54,0,0,169,,
4'-Methyl acetyl fentanyl,0,0,0,0,0,0,1,0,0,0,0,0,0,,
4-Fluoroisobutyryl fentanyl,0,0,0,3,240,0,27,12,1,87,0,2,159,,
4-Methylfentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Acetyl-alpha-methylfentanyl,0,0,0,0,2,0,0,0,0,0,0,0,0,,
Acetyl fentanyl,0,5,0,142,954,1,65,18,6,"2,446",3,18,"1,247",,
Acryl fentanyl,0,0,0,0,0,0,0,0,0,22,0,1,4,,
ANPP,0,0,0,2,596,3,120,7,0,669,2,0,73,,
Benzyl furanyl fentanyl,0,0,0,0,6,0,10,7,0,72,0,0,8,,
Benzylfentanyl,0,0,0,0,0,0,0,1,0,178,0,0,63,,
beta-Methylfentanyl,0,0,0,0,2,0,0,0,0,0,0,0,0,,
Butyryl fentanyl,0,0,0,1,0,0,134,1,0,41,0,0,2,,
Carfentanil,0,1,1,0,3,0,10,0,1,529,0,6,36,,
cis-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,14,,
Crotonyl fentanyl,0,0,0,0,0,0,0,0,0,71,0,0,0,,
Cyclopropyl fentanyl,0,0,0,0,23,0,4,11,2,511,2,40,91,,
Cyclopropyl/crotonyl Fentanyl,0,0,0,0,5,0,0,0,0,133,0,0,0,,
Despropionyl fluorofentanyl,0,0,0,0,33,0,0,0,0,0,0,0,0,,
Despropionyl meta-fluorofentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0,,
Despropionyl ortho-methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Despropionyl para-fluorofentanyl,0,0,0,0,8,0,2,0,0,0,0,0,4,,
Fentanyl,23,44,34,"1,926","7,208",40,"5,876","1,417",88,"16,174",59,128,"10,728",,
Fentanyl carbamate,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fluorobutyryl fentanyl ,0,1,0,0,44,0,0,0,0,0,0,0,0,,
Fluorobutyryl/fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Fluoroisobutyryl fentanyl,0,0,0,0,906,0,1,6,0,66,0,0,198,,
Furanyl fentanyl,0,0,0,1,283,0,5,7,0,58,1,4,63,,
Isobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Methoxyacetyl fentanyl,0,0,0,0,47,0,11,11,0,388,0,1,78,,
Methoxybutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Methyl acetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Methyl cyclopropyl fentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,,
Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,1,,
N-Methyl norfentanyl,0,0,0,0,0,0,2,7,0,93,0,0,3,,
Norfentanyl,0,0,0,0,1,0,0,0,0,0,0,0,0,,
ortho-Fluorobutyryl fentanyl,0,0,0,0,0,0,0,0,0,1,0,0,0,,
ortho-Methyl acetyl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,0,,
para-Fluoro benzyl fentanyl,0,0,0,0,0,0,0,0,0,20,0,0,7,,
para-Fluoro cyclopropyl benzyl fentanyl,0,0,0,0,0,0,0,0,0,7,0,0,1,,
para-Fluoro furanyl fentanyl,0,0,0,0,0,0,0,0,0,38,0,0,0,,
para-Fluorobutyryl fentanyl,0,0,0,0,18,0,0,0,0,1,0,1,1,,
para-Fluorofentanyl,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Phenyl fentanyl,0,0,0,0,0,0,2,0,0,54,0,4,3,,
Sufentanil,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Thiofuranyl fentanyl,0,0,0,0,23,0,0,0,0,3,0,0,3,,
trans-3-Methylfentanyl,0,0,0,0,0,0,0,0,0,0,0,0,7,,
Valeryl fentanyl,0,0,0,15,43,0,3,0,3,166,2,0,38,,
State,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,,,
3-Fluoroisobutyryl fentanyl,0,0,0,0,0,0,0,0,0,0,0,0,,,
3-Methylfentanyl,0,0,0,0,0,0,0,0,0,5,0,0,,,
