state_name,state_abbr,year,nflis_fentanyl_reports,nflis_related_reports_total,nflis_analog_reports,nflis_unique_compounds_detected,nflis_top_compound_1,nflis_top_compound_1_reports,nflis_top_compound_2,nflis_top_compound_2_reports,nflis_top_compound_3,nflis_top_compound_3_reports,nflis_top_analog_1,nflis_top_analog_1_reports,nflis_top_analog_2,nflis_top_analog_2_reports,nflis_top_analog_3,nflis_top_analog_3_reports,nflis_table3_source_file,nflis_source_url,dea_fpp_powder_seizures,dea_fpp_tablet_seizures,dea_fpp_avg_powder_purity_pct,dea_fpp_avg_tablet_potency_mg,dea_fpp_dominant_composition_notes,dea_fpp_source_url,dea_fpp_source_pub_date,dea_fpp_extraction_status,record_generated_utc
Virginia,VA,2021,6872,7512,640,11,Fentanyl,6872,para-Fluorofentanyl,543,Acetyl fentanyl,76,para-Fluorofentanyl,543,Acetyl fentanyl,76,ANPP,9,2021NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
Vermont,VT,2021,1137,1718,581,5,Fentanyl,1137,ANPP,451,Fluorofentanyl,119,ANPP,451,Fluorofentanyl,119,Acetyl fentanyl,6,2021NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
Washington,WA,2021,1185,1410,225,10,Fentanyl,1185,ANPP,122,para-Fluorofentanyl,64,ANPP,122,para-Fluorofentanyl,64,Fluorofentanyl,27,2021NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
Wisconsin,WI,2021,972,1156,184,5,Fentanyl,972,ANPP,77,Acetyl fentanyl,40,ANPP,77,Acetyl fentanyl,40,Fluorofentanyl,35,2021NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
West Virginia,WV,2021,2808,3391,583,12,Fentanyl,2808,Fluorobutyryl fentanyl,231,ANPP,184,Fluorobutyryl fentanyl,231,ANPP,184,Acetyl fentanyl,72,2021NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
Wyoming,WY,2021,122,175,53,3,Fentanyl,122,ANPP,51,Fluorofentanyl,2,ANPP,51,Fluorofentanyl,2,,,2021NFLISWebsiteTable3.csv,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,,,,2026-03-03T16:42:27Z
Alaska,AK,2022,296,342,46,7,Fentanyl,296,Fluorofentanyl,19,para-Fluorofentanyl,19,Fluorofentanyl,19,para-Fluorofentanyl,19,4-ANPP,3,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Alabama,AL,2022,325,447,122,6,Fentanyl,325,Fluorofentanyl,51,para-Fluorofentanyl,51,Fluorofentanyl,51,para-Fluorofentanyl,51,4-ANPP,14,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Arkansas,AR,2022,1134,1394,260,12,Fentanyl,1134,Fluorofentanyl,121,para-Fluorofentanyl,117,Fluorofentanyl,121,para-Fluorofentanyl,117,4-ANPP,5,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Arizona,AZ,2022,16975,17768,793,17,Fentanyl,16975,Fluorofentanyl,298,para-Fluorofentanyl,194,Fluorofentanyl,298,para-Fluorofentanyl,194,Fluorofentanyl (unspecified isomer),104,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
California,CA,2022,10872,13495,2623,33,Fentanyl,10872,4-ANPP,898,Fluorofentanyl,699,4-ANPP,898,Fluorofentanyl,699,para-Fluorofentanyl,469,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Colorado,CO,2022,2839,3150,311,12,Fentanyl,2839,Fluorofentanyl,143,Fluorofentanyl (unspecified isomer),71,Fluorofentanyl,143,Fluorofentanyl (unspecified isomer),71,para-Fluorofentanyl,71,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Connecticut,CT,2022,930,1417,487,15,Fentanyl,930,Fluorofentanyl,199,para-Fluorofentanyl,199,Fluorofentanyl,199,para-Fluorofentanyl,199,Fluoro valeryl fentanyl,14,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
District of Columbia,DC,2022,141,214,73,4,Fentanyl,141,Fluorofentanyl,36,para-Fluorofentanyl,36,Fluorofentanyl,36,para-Fluorofentanyl,36,Acetyl fentanyl,1,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Delaware,DE,2022,63,96,33,4,Fentanyl,63,Fluorofentanyl,16,para-Fluorofentanyl,16,Fluorofentanyl,16,para-Fluorofentanyl,16,4-ANPP,1,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Florida,FL,2022,7442,10028,2586,19,Fentanyl,7442,Fluorofentanyl,1139,para-Fluorofentanyl,732,Fluorofentanyl,1139,para-Fluorofentanyl,732,Fluorofentanyl (unspecified isomer),407,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Georgia,GA,2022,1343,1543,200,6,Fentanyl,1343,Fluorofentanyl,90,para-Fluorofentanyl,89,Fluorofentanyl,90,para-Fluorofentanyl,89,4-ANPP,19,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Hawaii,HI,2022,92,112,20,5,Fentanyl,92,4-ANPP,11,Fluorofentanyl,4,4-ANPP,11,Fluorofentanyl,4,para-Fluorofentanyl,4,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Iowa,IA,2022,823,1025,202,7,Fentanyl,823,Fluorofentanyl,91,Fluorofentanyl (unspecified isomer),90,Fluorofentanyl,91,Fluorofentanyl (unspecified isomer),90,Acetyl fentanyl,18,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Idaho,ID,2022,2182,2848,666,11,Fentanyl,2182,Fluorofentanyl,303,Fluorofentanyl (unspecified isomer),266,Fluorofentanyl,303,Fluorofentanyl (unspecified isomer),266,para-Fluorofentanyl,37,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Illinois,IL,2022,5281,6054,773,9,Fentanyl,5281,Fluorofentanyl,360,para-Fluorofentanyl,315,Fluorofentanyl,360,para-Fluorofentanyl,315,Fluorofentanyl (unspecified isomer),43,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Indiana,IN,2022,2795,3866,1071,12,Fentanyl,2795,Fluorofentanyl,348,para-Fluorofentanyl,337,Fluorofentanyl,348,para-Fluorofentanyl,337,4-ANPP,334,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Kansas,KS,2022,2146,3889,1743,15,Fentanyl,2146,4-ANPP,882,Fluorofentanyl,344,4-ANPP,882,Fluorofentanyl,344,Fluorofentanyl (unspecified isomer),221,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Kentucky,KY,2022,4426,6460,2034,19,Fentanyl,4426,Fluorofentanyl,930,Fluorofentanyl (unspecified isomer),815,Fluorofentanyl,930,Fluorofentanyl (unspecified isomer),815,para-Fluorofentanyl,115,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Louisiana,LA,2022,2933,4291,1358,14,Fentanyl,2933,Fluorofentanyl,524,para-Fluorofentanyl,384,Fluorofentanyl,524,para-Fluorofentanyl,384,4-ANPP,268,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Massachusetts,MA,2022,5486,8976,3490,16,Fentanyl,5486,Fluorofentanyl,1626,Fluorofentanyl (unspecified isomer),1514,Fluorofentanyl,1626,Fluorofentanyl (unspecified isomer),1514,Acetyl fentanyl,112,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Maryland,MD,2022,3206,3889,683,12,Fentanyl,3206,Fluorofentanyl,182,para-Fluorofentanyl,154,Fluorofentanyl,182,para-Fluorofentanyl,154,Fluoro furanyl fentanyl,136,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Maine,ME,2022,227,321,94,6,Fentanyl,227,4-ANPP,72,Fluorofentanyl,8,4-ANPP,72,Fluorofentanyl,8,para-Fluorofentanyl,7,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Michigan,MI,2022,606,1064,458,7,Fentanyl,606,4-ANPP,302,Fluorofentanyl,69,4-ANPP,302,Fluorofentanyl,69,para-Fluorofentanyl,69,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Minnesota,MN,2022,1782,2986,1204,8,Fentanyl,1782,4-ANPP,693,Fluorofentanyl,224,4-ANPP,693,Fluorofentanyl,224,Fluorofentanyl (unspecified isomer),216,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Missouri,MO,2022,4913,6366,1453,12,Fentanyl,4913,Fluorofentanyl,703,para-Fluorofentanyl,697,Fluorofentanyl,703,para-Fluorofentanyl,697,4-ANPP,16,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Mississippi,MS,2022,499,773,274,9,Fentanyl,499,4-ANPP,127,Fluorofentanyl,69,4-ANPP,127,Fluorofentanyl,69,para-Fluorofentanyl,69,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Montana,MT,2022,978,1214,236,7,Fentanyl,978,Fluorofentanyl,90,para-Fluorofentanyl,90,Fluorofentanyl,90,para-Fluorofentanyl,90,4-ANPP,42,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
North Carolina,NC,2022,2670,6620,3950,22,Fentanyl,2670,4-ANPP,1499,Fluorobutyryl fentanyl,671,4-ANPP,1499,Fluorobutyryl fentanyl,671,Fluorobutyryl fentanyl (unspecified isomer),671,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
North Dakota,ND,2022,629,761,132,3,Fentanyl,629,Fluorofentanyl,66,para-Fluorofentanyl,66,Fluorofentanyl,66,para-Fluorofentanyl,66,,,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Nebraska,NE,2022,341,587,246,10,Fentanyl,341,4-ANPP,106,Fluorofentanyl,62,4-ANPP,106,Fluorofentanyl,62,para-Fluorofentanyl,61,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
New Hampshire,NH,2022,1700,2474,774,8,Fentanyl,1700,Fluorofentanyl,366,para-Fluorofentanyl,344,Fluorofentanyl,366,para-Fluorofentanyl,344,Acetyl fentanyl,33,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
New Jersey,NJ,2022,9225,21757,12532,28,Fentanyl,9225,4-ANPP,5454,Fluorofentanyl,2556,4-ANPP,5454,Fluorofentanyl,2556,Fluorofentanyl (unspecified isomer),2350,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
New Mexico,NM,2022,3200,3501,301,13,Fentanyl,3200,Fluorofentanyl,123,Fluorofentanyl (unspecified isomer),64,Fluorofentanyl,123,Fluorofentanyl (unspecified isomer),64,para-Fluorofentanyl,59,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Nevada,NV,2022,357,568,211,6,Fentanyl,357,Fluorofentanyl,71,4-ANPP,62,Fluorofentanyl,71,4-ANPP,62,para-Fluorofentanyl,48,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
New York,NY,2022,9188,11256,2068,28,Fentanyl,9188,4-ANPP,566,Fluorofentanyl,513,4-ANPP,566,Fluorofentanyl,513,para-Fluorofentanyl,285,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Ohio,OH,2022,17910,32435,14525,32,Fentanyl,17910,Fluorofentanyl,5259,4-ANPP,2764,Fluorofentanyl,5259,4-ANPP,2764,para-Fluorofentanyl,2679,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Oklahoma,OK,2022,1975,2209,234,13,Fentanyl,1975,Fluorofentanyl,76,para-Fluorofentanyl,74,Fluorofentanyl,76,para-Fluorofentanyl,74,4-ANPP,54,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Oregon,OR,2022,1286,1557,271,11,Fentanyl,1286,Fluorofentanyl,121,para-Fluorofentanyl,75,Fluorofentanyl,121,para-Fluorofentanyl,75,Fluorofentanyl (unspecified isomer),46,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Pennsylvania,PA,2022,13355,19818,6463,20,Fentanyl,13355,Fluorofentanyl,3051,Fluorofentanyl (unspecified isomer),2308,Fluorofentanyl,3051,Fluorofentanyl (unspecified isomer),2308,para-Fluorofentanyl,743,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Rhode Island,RI,2022,726,1468,742,10,Fentanyl,726,Fluorofentanyl,259,para-Fluorofentanyl,259,Fluorofentanyl,259,para-Fluorofentanyl,259,Fentanyl-related compound (unspecified)1,166,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
South Carolina,SC,2022,1568,2278,710,13,Fentanyl,1568,Fluorofentanyl,242,Fluorofentanyl (unspecified isomer),232,Fluorofentanyl,242,Fluorofentanyl (unspecified isomer),232,Acetyl fentanyl,57,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
South Dakota,SD,2022,99,155,56,4,Fentanyl,99,4-ANPP,54,Fluorofentanyl,1,4-ANPP,54,Fluorofentanyl,1,para-Fluorofentanyl,1,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Tennessee,TN,2022,4388,8947,4559,15,Fentanyl,4388,4-ANPP,2215,Fluorofentanyl,1030,4-ANPP,2215,Fluorofentanyl,1030,para-Fluorofentanyl,670,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Texas,TX,2022,3332,4089,757,16,Fentanyl,3332,Fluorofentanyl,246,4-ANPP,195,Fluorofentanyl,246,4-ANPP,195,para-Fluorofentanyl,183,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Utah,UT,2022,354,431,77,7,Fentanyl,354,Fluorofentanyl,32,para-Fluorofentanyl,32,Fluorofentanyl,32,para-Fluorofentanyl,32,Acetyl fentanyl,7,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Virginia,VA,2022,7545,9477,1932,11,Fentanyl,7545,Fluorofentanyl,927,para-Fluorofentanyl,927,Fluorofentanyl,927,para-Fluorofentanyl,927,Acetyl fentanyl,48,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Vermont,VT,2022,662,1057,395,6,Fentanyl,662,4-ANPP,201,Fluorofentanyl,94,4-ANPP,201,Fluorofentanyl,94,Fluorofentanyl (unspecified isomer),78,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Washington,WA,2022,2492,3197,705,12,Fentanyl,2492,4-ANPP,284,Fluorofentanyl,186,4-ANPP,284,Fluorofentanyl,186,para-Fluorofentanyl,128,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Wisconsin,WI,2022,993,1416,423,9,Fentanyl,993,Fluorofentanyl,153,para-Fluorofentanyl,143,Fluorofentanyl,153,para-Fluorofentanyl,143,4-ANPP,89,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
West Virginia,WV,2022,2514,3647,1133,18,Fentanyl,2514,Fluorobutyryl fentanyl,295,Fluorobutyryl fentanyl (unspecified isomer),295,Fluorobutyryl fentanyl,295,Fluorobutyryl fentanyl (unspecified isomer),295,4-ANPP,190,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Wyoming,WY,2022,328,470,142,8,Fentanyl,328,4-ANPP,102,Fluorofentanyl,17,4-ANPP,102,Fluorofentanyl,17,para-Fluorofentanyl,10,2022NFLISWebsiteTable3.xlsx,https://www.nflis.deadiversion.usdoj.gov/publicationsRedesign.xhtml,,,,,,https://www.dea.gov/documents/2024/2024-09/2024-09-11/cy-2022-fentanyl-profiling-program-report,2024-09-11,pending_manual_extract,2026-03-03T16:42:27Z
Alaska,AK,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Alabama,AL,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Arkansas,AR,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
Arizona,AZ,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
California,CA,2023,,,,,,,,,,,,,,,,,,,,,,,,https://www.dea.gov/documents/2025/2025-09/2025-09-22/cy-2023-annual-fentanyl-report,2025-09-22,pending_manual_extract,2026-03-03T16:42:27Z
