state_abbr,state_name,census_subregion,census_region,year,population,od_synth_latest_month_count_year,od_synth_latest_month_per100k_year,od_synth_year_sum_count,od_synth_year_sum_per100k,od_synth_year_end_12mo_count,od_synth_year_end_12mo_per100k,od_all_latest_month_count_year,od_all_latest_month_per100k_year,od_all_year_sum_count,od_all_year_sum_per100k,od_all_year_end_12mo_count,od_all_year_end_12mo_per100k,fentanyl_laws_total,fentanyl_laws_possession,fentanyl_laws_distribution_delivery,fentanyl_laws_exposing_others,fentanyl_laws_other,fentanyl_laws_sum_by_type,nflis_reports_year,nflis_unique_substances_year,nflis_unique_bases_year,cnx_recv_shipments_year,cnx_recv_quantity_kg_year,cnx_recv_value_usd_year,cnx_recv_unique_hs6_year,cnx_recv_chem_shipments_year,cnx_recv_chem_quantity_kg_year,cnx_recv_chem_value_usd_year,cnx_recv_chem_unique_chemicals_year,cnx_send_shipments_year,cnx_send_quantity_kg_year,cnx_send_value_usd_year,cnx_send_unique_hs6_year,cnx_send_chem_shipments_year,cnx_send_chem_quantity_kg_year,cnx_send_chem_value_usd_year,cnx_send_chem_unique_chemicals_year
HI,Hawaii,Pacific,West,2017,1427538,1.916667,0.134264,5.666667,0.396954,12,0.840608,9.833333,0.688832,22.333333,1.564465,67,4.693395,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,Iowa,West North Central,Midwest,2017,3145711,12.666667,0.402665,77,2.447777,97,3.083564,12.666667,0.402665,154,4.895555,206,6.548599,1,0,1,0,0,1,427,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,Idaho,Mountain,West,2017,1716943,,,,,,,,,,,,,1,0,1,0,0,1,24,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,Illinois,East North Central,Midwest,2017,12802023,109.083333,0.852079,1260,9.842194,1260,9.842194,183.25,1.431414,2214,17.294142,2214,17.294142,2,1,1,0,0,2,3136,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,Indiana,East North Central,Midwest,2017,6666818,,,,,,,,,,,,,1,0,1,0,0,1,1345,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,Kansas,West North Central,Midwest,2017,2913123,,,,,,,,,,,,,4,0,3,0,1,4,76,7,6,1,4520,49264.836,1,0,0,0,0,0,0,0,0,0,0,0,0
KY,Kentucky,East South Central,South,2017,4454189,,,,,,,,,,,,,7,0,6,0,1,7,2850,20,14,2,40000,178484,1,0,0,0,0,0,0,0,0,0,0,0,0
LA,Louisiana,West South Central,South,2017,4684333,,,,,,,,,,,,,4,1,3,0,0,4,262,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Massachusetts,New England,Northeast,2017,6859819,174.75,2.547443,1645,23.980225,1645,23.980225,201.083333,2.931321,1896,27.639213,1896,27.639213,1,0,1,0,0,1,7568,18,13,1,5840,38293.464,1,0,0,0,0,0,0,0,0,0,0,0,0
MD,Maryland,South Atlantic,South,2017,6052177,127.083333,2.099795,1598,26.403722,1598,26.403722,164.166667,2.712523,2037,33.65731,2037,33.65731,3,1,2,0,0,3,4325,31,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,Maine,New England,Northeast,2017,1335907,36.166667,2.707274,262,19.612144,262,19.612144,45.583333,3.412164,348,26.049718,348,26.049718,4,1,3,0,0,4,302,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,Michigan,East North Central,Midwest,2017,9962311,,,,,,,,,,,,,0,0,0,0,0,0,815,15,10,1,1990,12380.984,1,0,0,0,0,0,0,0,0,0,0,0,0
MN,Minnesota,West North Central,Midwest,2017,5576606,,,,,,,,,,,,,3,2,1,0,0,3,339,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,Missouri,West North Central,Midwest,2017,6113532,,,,,,,,,,,,,2,0,2,0,0,2,1930,18,11,1,16330,104794.509,1,0,0,0,0,0,0,0,0,0,0,0,0
MS,Mississippi,East South Central,South,2017,2984100,,,,,,,,,,,,,1,0,1,0,0,1,134,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,Montana,Mountain,West,2017,1050493,,,,,,,,,,,,,2,1,1,0,0,2,32,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC,North Carolina,South Atlantic,South,2017,10273419,106.083333,1.0326,1270,12.361999,1270,12.361999,162.583333,1.582563,1921,18.698741,1921,18.698741,2,1,1,0,0,2,565,11,7,28,561140,2107676.488,2,0,0,0,0,26,4183,98591.578,9,0,0,0,0
ND,North Dakota,West North Central,Midwest,2017,755393,,,,,,,,,,,,,0,0,0,0,0,0,118,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Nebraska,West North Central,Midwest,2017,1920076,,,,,,,,,,,,,0,0,0,0,0,0,17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NH,New Hampshire,New England,Northeast,2017,1342795,48.75,3.630487,387,28.820483,387,28.820483,52.5,3.909755,434,32.320645,434,32.320645,1,0,1,0,0,1,2226,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ,New Jersey,Middle Atlantic,Northeast,2017,9005644,,,,,,,,,,,,,0,0,0,0,0,0,7016,27,20,43,649270,4008804.062,17,1,14340,187575.804,1,32,1743,31803.977,27,0,0,0,0
NM,New Mexico,Mountain,West,2017,2088070,12.416667,0.594648,75,3.591834,75,3.591834,38.416667,1.839817,336,16.091415,336,16.091415,0,0,0,0,0,0,32,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NV,Nevada,Mountain,West,2017,2998039,11,0.366907,74,2.46828,74,2.46828,31.166667,1.039568,438,14.60955,438,14.60955,2,2,0,0,0,2,20,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,New York,Middle Atlantic,Northeast,2017,19849399,99.333333,0.500435,1455,7.330197,1455,7.330197,154,0.775842,2063,10.393262,2063,10.393262,0,0,0,0,0,0,1923,23,13,3,201530,10032.363,2,0,0,0,0,51,904967,396939.229,1,0,0,0,0
OH,Ohio,East North Central,Midwest,2017,11658609,204.666667,1.755498,3550,30.449602,3550,30.449602,262.75,2.253699,4327,37.114205,4327,37.114205,5,0,5,0,0,5,22281,28,20,17,312605,6197057.618,6,0,0,0,0,14,2391,14682.074,14,0,0,0,0
OK,Oklahoma,West South Central,South,2017,3930864,9.666667,0.245917,103.666667,2.637249,97,2.467651,34.583333,0.87979,387,9.845164,387,9.845164,4,0,4,0,0,4,73,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,Oregon,Pacific,West,2017,4142776,2.75,0.066381,86,2.075903,86,2.075903,32.333333,0.780475,344,8.303611,344,8.303611,4,0,4,0,0,4,138,9,7,3,39450,71781.3,2,0,0,0,0,0,0,0,0,0,0,0,0
PA,Pennsylvania,Middle Atlantic,Northeast,2017,12805537,,,,,,,,,,,,,0,0,0,0,0,0,10449,27,19,3,49140,173011.609,3,0,0,0,0,42,18168,54113.518729,29,0,0,0,0
RI,Rhode Island,New England,Northeast,2017,1059639,18,1.698692,208,19.629327,208,19.629327,25.333333,2.390751,284,26.801581,284,26.801581,2,0,2,0,0,2,699,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,South Carolina,South Atlantic,South,2017,5024369,34.75,0.691629,397,7.90149,397,7.90149,52.75,1.049883,748,14.887442,748,14.887442,2,1,1,0,0,2,929,17,12,4,22560,42627.2465,4,0,0,0,0,0,0,0,0,0,0,0,0
SD,South Dakota,West North Central,Midwest,2017,869666,0,0,16.333333,1.878116,13,1.494827,1.416667,0.162898,37,4.254507,37,4.254507,1,0,1,0,0,1,10,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TN,Tennessee,East South Central,South,2017,6715984,59.666667,0.888428,600,8.933911,600,8.933911,116.666667,1.737149,1275,18.98456,1275,18.98456,2,0,2,0,0,2,808,19,11,2,19980,32554.746,2,0,0,0,0,3,236254,303477.008,2,0,0,0,0
TX,Texas,West South Central,South,2017,28304596,,,,,,,,,,,,,0,0,0,0,0,0,389,18,13,1108,100789126,116865398.496195,91,4,400000,310232.214844,1,60,1570882,2020469.12,13,0,0,0,0
UT,Utah,Mountain,West,2017,3101833,8.25,0.265972,88,2.837032,88,2.837032,32.583333,1.050454,456,14.700985,456,14.700985,0,0,0,0,0,0,24,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,Virginia,South Atlantic,South,2017,8470020,84.75,1.000588,797,9.409659,797,9.409659,115.833333,1.367569,1198,14.144004,1198,14.144004,3,3,0,0,0,3,3261,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,Vermont,New England,Northeast,2017,623657,6.75,1.082326,73,11.705152,73,11.705152,8.416667,1.349567,110,17.6379,110,17.6379,1,0,1,0,0,1,465,6,5,2,40660,134417.704,2,0,0,0,0,0,0,0,0,0,0,0,0
WA,Washington,Pacific,West,2017,7405743,19.416667,0.262184,136,1.836413,136,1.836413,69.5,0.938461,744,10.046257,744,10.046257,0,0,0,0,0,0,151,11,9,7,140660,471629.298,3,0,0,0,0,2,21800,52849.995,2,0,0,0,0
WI,Wisconsin,East North Central,Midwest,2017,5795483,32.916667,0.567971,464,8.006235,464,8.006235,76.166667,1.314242,934,16.115999,934,16.115999,2,1,1,0,0,2,682,15,11,0,0,0,0,0,0,0,0,14,16675,31935.620563,11,0,0,0,0
WV,West Virginia,South Atlantic,South,2017,1815857,51.666667,2.845305,644,35.465348,644,35.465348,74,4.075211,860,47.360558,860,47.360558,2,0,2,0,0,2,620,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,Wyoming,Mountain,West,2017,579315,1.166667,0.201387,12.833333,2.21526,14,2.416647,3.666667,0.632931,53.333333,9.206275,44,7.595177,1,0,0,1,0,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Alaska,Pacific,West,2018,737438,0.083333,0.0113,23.916667,3.243211,16,2.169674,8,1.084837,68,9.221114,65,8.8143,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Alabama,East South Central,South,2018,4887871,,,,,,,,,,,,,6,1,4,1,0,6,301,17,11,0,0,0,0,0,0,0,0,3,300000,44769.708984,1,0,0,0,0
AR,Arkansas,West South Central,South,2018,3013825,,,,,,,,,,,,,9,2,5,1,3,11,301,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Arizona,Mountain,West,2018,7171646,49.916667,0.696028,527,7.348383,527,7.348383,100,1.39438,1134,15.81227,1134,15.81227,1,0,1,0,0,1,1097,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,California,Pacific,West,2018,39557045,,,,,,,,,,,,,5,2,0,0,3,5,1662,17,9,14,126280,268015.894,10,0,0,0,0,16,1927380,415800.587891,1,0,0,0,0
CO,Colorado,Mountain,West,2018,5695564,10.833333,0.190207,175,3.072567,130,2.282478,47.333333,0.831056,609,10.692532,568,9.972673,8,3,3,0,2,8,104,5,4,0,0,0,0,0,0,0,0,27,4780,36909.507,23,0,0,0,0
CT,Connecticut,New England,Northeast,2018,3572665,75.833333,2.122598,779,21.804451,779,21.804451,83.166667,2.327861,957,26.786726,957,26.786726,0,0,0,0,0,0,570,14,9,1,1000,7219.1,1,0,0,0,0,0,0,0,0,0,0,0,0
DE,Delaware,South Atlantic,South,2018,967171,25,2.584858,223,23.056936,300,31.0183,30.083333,3.110446,287,29.674173,361,37.325354,0,0,0,0,0,0,247,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,Florida,South Atlantic,South,2018,21299325,,,,,,,,,,,,,5,0,3,1,1,5,4447,28,20,22,402449,712604.9238,6,0,0,0,0,46,839910,2294337.593,12,0,0,0,0
GA,Georgia,South Atlantic,South,2018,10519475,23.416667,0.222603,330,3.137039,330,3.137039,76.333333,0.725638,853,8.10877,853,8.10877,1,0,1,0,0,1,276,14,10,1,1510,11318.356,1,0,0,0,0,0,0,0,0,0,0,0,0
HI,Hawaii,Pacific,West,2018,1420491,,,,,,,6.833333,0.481054,6.833333,0.481054,49,3.449511,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,Iowa,West North Central,Midwest,2018,3156145,7.666667,0.242912,65,2.059474,78,2.471369,6.666667,0.211228,106,3.358528,138,4.372423,1,0,1,0,0,1,374,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,Idaho,Mountain,West,2018,1754208,,,,,,,,,,,,,1,0,1,0,0,1,41,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,Illinois,East North Central,Midwest,2018,12741080,136.083333,1.068067,1593,12.502865,1593,12.502865,197.25,1.548142,2193,17.212042,2193,17.212042,2,1,1,0,0,2,5322,23,14,4,102020,285768.222,1,0,0,0,0,5,347896,224446.448453,4,0,0,0,0
IN,Indiana,East North Central,Midwest,2018,6691878,,,,,,,,,,,,,1,0,1,0,0,1,1824,16,10,0,0,0,0,0,0,0,0,1,3000,25371.961,1,0,0,0,0
KS,Kansas,West North Central,Midwest,2018,2911510,,,,,,,,,,,,,4,0,3,0,1,4,95,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,Kentucky,East South Central,South,2018,4468402,61.916667,1.385656,786,17.590181,743,16.627868,83.416667,1.866812,1091,24.415887,1001,22.401745,7,0,6,0,1,7,3348,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,Louisiana,West South Central,South,2018,4659978,,,,,,,,,,,,,4,1,3,0,0,4,455,10,9,0,0,0,0,0,0,0,0,2,100000,24806.4,2,0,0,0,0
MA,Massachusetts,New England,Northeast,2018,6902149,164.75,2.386938,1813,26.267181,1813,26.267181,191.083333,2.768461,1996,28.91853,1996,28.91853,1,0,1,0,0,1,10196,25,16,2,11680,0,2,0,0,0,0,0,0,0,0,0,0,0,0
MD,Maryland,South Atlantic,South,2018,6042718,126.083333,2.086533,1890,31.277316,1890,31.277316,146.166667,2.418889,2150,35.580015,2150,35.580015,3,1,2,0,0,3,6192,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ME,Maine,New England,Northeast,2018,1338404,14.166667,1.058475,226,16.885783,226,16.885783,18.583333,1.38847,277,20.696292,277,20.696292,4,1,3,0,0,4,443,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,Michigan,East North Central,Midwest,2018,9995915,127.916667,1.279689,1535,15.356273,1535,15.356273,167.416667,1.674851,2009,20.09821,2009,20.09821,0,0,0,0,0,0,1080,13,7,4,52330,50602.076,3,0,0,0,0,2,200000,34146.960938,1,0,0,0,0
MN,Minnesota,West North Central,Midwest,2018,5611179,,,,,,,,,,,,,3,2,1,0,0,3,567,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,Missouri,West North Central,Midwest,2018,6126452,73.416667,1.198355,828,13.515163,881,14.380264,96.083333,1.568336,1101,17.97125,1153,18.820028,2,0,2,0,0,2,2917,14,11,14,242260,182871.438,3,0,0,0,0,0,0,0,0,0,0,0,0
MS,Mississippi,East South Central,South,2018,2986530,,,,,,,,,,,,,1,0,1,0,0,1,201,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,Montana,Mountain,West,2018,1062305,,,,,,,,,,,,,2,1,1,0,0,2,23,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC,North Carolina,South Atlantic,South,2018,10383620,85.083333,0.8194,1280,12.327108,1280,12.327108,121.583333,1.170915,1781,17.152014,1781,17.152014,2,1,1,0,0,2,1589,19,13,32,641580,170307.036,5,0,0,0,0,1,0,120000,1,0,0,0,0
ND,North Dakota,West North Central,Midwest,2018,760077,,,,,,,,,,,,,0,0,0,0,0,0,101,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,Nebraska,West North Central,Midwest,2018,1929268,,,,,,,,,,,,,0,0,0,0,0,0,51,4,4,1,1120,137329.92,1,0,0,0,0,0,0,0,0,0,0,0,0
NH,New Hampshire,New England,Northeast,2018,1356458,44.75,3.299033,379,27.940415,379,27.940415,49.5,3.64921,406,29.930894,406,29.930894,1,0,1,0,0,1,2121,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NJ,New Jersey,Middle Atlantic,Northeast,2018,8908520,184.416667,2.070116,1821,20.441106,2213,24.841388,213.666667,2.398453,2197,24.661784,2564,28.781436,0,0,0,0,0,0,10833,35,24,33,600100,1258272.219,7,0,0,0,0,5,257944,308132.49225,4,0,0,0,0
NM,New Mexico,Mountain,West,2018,2095428,19.416667,0.926621,103,4.915464,103,4.915464,44.416667,2.119694,334,15.939464,334,15.939464,0,0,0,0,0,0,58,4,3,1,17750,33041.625,1,0,0,0,0,0,0,0,0,0,0,0,0
NV,Nevada,Mountain,West,2018,3034392,11,0.362511,86,2.834176,86,2.834176,33.166667,1.093025,396,13.05039,396,13.05039,2,2,0,0,0,2,36,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY,New York,Middle Atlantic,Northeast,2018,19542209,91.333333,0.467364,1364,6.979764,1364,6.979764,148,0.757335,1856,9.497391,1856,9.497391,0,0,0,0,0,0,2229,28,17,26,1948310,1071510.08375,9,0,0,0,0,107,2109785,764760.760141,4,0,0,0,0
OH,Ohio,East North Central,Midwest,2018,11689442,208.666667,1.785087,2818,24.107224,2818,24.107224,262.75,2.247755,3259,27.879859,3259,27.879859,5,0,5,0,0,5,22223,39,28,9,104010,4759.482,3,0,0,0,0,1,417,1750.021,1,0,0,0,0
OK,Oklahoma,West South Central,South,2018,3943079,8.666667,0.219794,74.666667,1.893613,71,1.800623,33.583333,0.851703,300,7.608268,300,7.608268,4,0,4,0,0,4,72,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR,Oregon,Pacific,West,2018,4190713,7.75,0.184933,96,2.29078,96,2.29078,36.333333,0.866996,346,8.256352,346,8.256352,4,0,4,0,0,4,208,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PA,Pennsylvania,Middle Atlantic,Northeast,2018,12807060,,,,,,,,,,,,,0,0,0,0,0,0,13210,37,28,2,16620,0,2,0,0,0,0,4,98,4882.351,3,0,0,0,0
RI,Rhode Island,New England,Northeast,2018,1057315,18,1.702425,226,21.374898,226,21.374898,26.333333,2.490585,280,26.482174,280,26.482174,2,0,2,0,0,2,879,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC,South Carolina,South Atlantic,South,2018,5084127,57.75,1.135888,497,9.775523,497,9.775523,87.75,1.72596,818,16.089291,818,16.089291,2,1,1,0,0,2,1695,19,15,11,76910,617161.319,7,0,0,0,0,0,0,0,0,0,0,0,0
SD,South Dakota,West North Central,Midwest,2018,882235,0,0,16.333333,1.851359,14,1.586879,3.416667,0.387274,28.583333,3.239878,27,3.060409,1,0,1,0,0,1,5,3,3,0,0,0,0,0,0,0,0,1,409,11210.001,1,0,0,0,0
TN,Tennessee,East South Central,South,2018,6770010,49.666667,0.733628,824,12.171326,824,12.171326,98.666667,1.457408,1309,19.335274,1309,19.335274,2,0,2,0,0,2,1389,21,13,0,0,0,0,0,0,0,0,2,158758,208211.965,1,0,0,0,0
TX,Texas,West South Central,South,2018,28701845,,,,,,,,,,,,,0,0,0,0,0,0,388,18,13,1177,99257515,118699112.701789,96,27,2470750,1730696.792969,3,62,1679777,1532606.026772,19,0,0,0,0
UT,Utah,Mountain,West,2018,3161105,4.25,0.134447,84,2.657299,84,2.657299,20.583333,0.651144,439,13.887549,439,13.887549,0,0,0,0,0,0,49,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VA,Virginia,South Atlantic,South,2018,8517685,62.75,0.736703,845,9.920536,845,9.920536,80.833333,0.949006,1193,14.006153,1193,14.006153,3,3,0,0,0,3,3299,19,14,0,0,0,0,0,0,0,0,4,309582,300421.978,1,0,0,0,0
VT,Vermont,New England,Northeast,2018,626299,9.75,1.556764,96,15.328142,96,15.328142,11.416667,1.822878,116,18.521505,116,18.521505,1,0,1,0,0,1,1021,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WA,Washington,Pacific,West,2018,7535591,23.416667,0.310748,219,2.906209,219,2.906209,67.5,0.895749,732,9.713903,732,9.713903,0,0,0,0,0,0,375,16,11,15,807510,1444814.5175,6,0,0,0,0,1,960,6217.18,1,0,0,0,0
WI,Wisconsin,East North Central,Midwest,2018,5813568,46.916667,0.80702,501,8.617771,501,8.617771,92.166667,1.585372,850,14.620969,850,14.620969,2,1,1,0,0,2,751,17,11,1,100000,30278.023438,1,0,0,0,0,0,0,0,0,0,0,0,0
WV,West Virginia,South Atlantic,South,2018,1805832,39.666667,2.196587,574,31.785903,574,31.785903,56,3.101064,730,40.42458,730,40.42458,2,0,2,0,0,2,940,24,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WY,Wyoming,Mountain,West,2018,577737,0.166667,0.028848,10.5,1.817436,12,2.07707,5.666667,0.980838,41.666667,7.212047,41,7.096655,1,0,0,1,0,1,29,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AK,Alaska,Pacific,West,2019,731545,0,0,31.833333,4.351521,23,3.144031,3,0.410091,85,11.619244,83,11.34585,0,0,0,0,0,0,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL,Alabama,East South Central,South,2019,4903185,,,,,,,,,,,,,6,1,4,1,0,6,601,12,7,0,0,0,0,0,0,0,0,10,1000000,165877.126953,2,0,0,0,0
AR,Arkansas,West South Central,South,2019,3017804,,,,,,,,,,,,,9,2,5,1,3,11,312,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZ,Arizona,Mountain,West,2019,7278717,93.916667,1.290291,824,11.320676,824,11.320676,130,1.786029,1326,18.217496,1326,18.217496,1,0,1,0,0,1,3525,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA,California,Pacific,West,2019,39512223,143.916667,0.364233,2623,6.638452,1727,4.370799,277,0.701049,4169,10.551165,3324,8.412587,5,2,0,0,3,5,3437,17,12,21,250580,255646.478,10,0,0,0,0,19,2200580,505707.220703,2,0,0,0,0
CO,Colorado,Mountain,West,2019,5758736,42.833333,0.743797,210.333333,3.652422,251,4.358595,74.333333,1.290793,526.333333,9.139737,644,11.18301,8,3,3,0,2,8,310,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT,Connecticut,New England,Northeast,2019,3565287,102.833333,2.884293,974,27.318979,974,27.318979,113.166667,3.174125,1119,31.385973,1119,31.385973,0,0,0,0,0,0,678,10,6,1,910,17937.738,1,0,0,0,0,8,80000,101565.876953,4,0,0,0,0
DE,Delaware,South Atlantic,South,2019,973764,49,5.03202,336,34.505281,336,34.505281,53.083333,5.451355,382,39.229218,382,39.229218,0,0,0,0,0,0,65,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL,Florida,South Atlantic,South,2019,21477737,253.25,1.179128,3039,14.149535,3039,14.149535,331.75,1.544623,3981,18.535472,3981,18.535472,5,0,3,1,1,5,5512,23,16,2,900,12375,1,0,0,0,0,13,105119,234764.429,9,0,0,0,0
GA,Georgia,South Atlantic,South,2019,10617423,36.416667,0.34299,383,3.607278,383,3.607278,78.333333,0.737781,837,7.883269,837,7.883269,1,0,1,0,0,1,318,15,13,11,47119,299011.611,6,0,0,0,0,4,400000,186814.746094,1,0,0,0,0
HI,Hawaii,Pacific,West,2019,1415872,,,,,,,2.833333,0.200112,2.833333,0.200112,59,4.167043,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,Iowa,West North Central,Midwest,2019,3155070,11.666667,0.369775,84,2.662382,101,3.201197,14.666667,0.46486,122,3.866792,157,4.976118,1,0,1,0,0,1,545,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ID,Idaho,Mountain,West,2019,1787065,,,,,,,,,,,,,1,0,1,0,0,1,57,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,Illinois,East North Central,Midwest,2019,12671821,175.083333,1.381675,1714,13.526075,1714,13.526075,250.25,1.974854,2232,17.613885,2232,17.613885,2,1,1,0,0,2,4669,18,12,2,10550,303022.057,2,0,0,0,0,20,55010,100751.358887,14,0,0,0,0
IN,Indiana,East North Central,Midwest,2019,6732219,75.666667,1.123948,1241,18.433744,908,13.487381,104.666667,1.554713,1533,22.771095,1256,18.656553,1,0,1,0,0,1,2074,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KS,Kansas,West North Central,Midwest,2019,2913314,5.666667,0.194509,82,2.814664,68,2.334112,14.25,0.489134,174,5.97258,171,5.869604,4,0,3,0,1,4,184,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KY,Kentucky,East South Central,South,2019,4467673,109.916667,2.460267,815,18.242159,815,18.242159,127.416667,2.851969,1024,22.920209,1024,22.920209,7,0,6,0,1,7,4093,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,Louisiana,West South Central,South,2019,4648794,,,,,,,,,,,,,4,1,3,0,0,4,541,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Massachusetts,New England,Northeast,2019,6892503,179.75,2.607906,1876,27.217979,1876,27.217979,200.083333,2.902913,1977,28.683339,1977,28.683339,1,0,1,0,0,1,12297,20,14,5,11808,158726.016,3,0,0,0,0,0,0,0,0,0,0,0,0
MD,Maryland,South Atlantic,South,2019,6045680,118.083333,1.953185,1926,31.857459,1926,31.857459,133.166667,2.202675,2117,35.016739,2117,35.016739,3,1,2,0,0,3,7509,11,8,0,0,0,0,0,0,0,0,1,100000,18260.197266,1,0,0,0,0
ME,Maine,New England,Northeast,2019,1344212,24.166667,1.797831,278,20.681262,278,20.681262,27.583333,2.052008,317,23.58259,317,23.58259,4,1,3,0,0,4,474,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,Michigan,East North Central,Midwest,2019,9986857,100.916667,1.010495,889.333333,8.905037,1401,14.028438,122.416667,1.225778,1112.333333,11.137972,1782,17.843452,0,0,0,0,0,0,2035,10,5,1,16060,31431.026,1,0,0,0,0,3,20000,19926.120704,3,0,0,0,0
MN,Minnesota,West North Central,Midwest,2019,5639632,,,,,,,,,,,,,3,2,1,0,0,3,973,15,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MO,Missouri,West North Central,Midwest,2019,6137428,85.416667,1.391734,897,14.615243,897,14.615243,103.083333,1.679585,1105,18.004285,1105,18.004285,2,0,2,0,0,2,3818,13,9,34,18846,199618.218,21,0,0,0,0,0,0,0,0,0,0,0,0
MS,Mississippi,East South Central,South,2019,2976149,10.833333,0.364005,196,6.585692,130,4.368061,19.25,0.646809,276,9.273729,231,7.761708,1,0,1,0,0,1,296,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MT,Montana,Mountain,West,2019,1068778,,,,,,,,,,,,,2,1,1,0,0,2,31,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NC,North Carolina,South Atlantic,South,2019,10488084,97.083333,0.925654,1344,12.814543,1344,12.814543,127.583333,1.21646,1793,17.095592,1793,17.095592,2,1,1,0,0,2,2311,18,12,8,85800,226783.7,2,0,0,0,0,4,400000,92501.183594,1,0,0,0,0
