state_abbr,state_name,year,hs6,goods_description,shipment_records,total_quantity_kg,total_value_usd
CA,California,2016,841989,ENFRIADOR CIRCULADOR DE AGUA PARA LABORATORIO,1,58.0,1799.862
CA,California,2016,841989,ESTERILIZADOR DE ENVASES DE VIDRIO,2,622.0,42457.314
CA,California,2016,841989,INCUBADOR PARA LABORATORIO,4,252.0,15954.126
CA,California,2016,841989,JUEGO DE ROTO EVAPORADOR PARA LABORATORIO CON ACCESORIOS,1,25.0,3880.478
CA,California,2016,841989,JUEGO DE ROTOEVAPORADOR PARA LABORATORIO CON 5,1,49.0,2131.07
CA,California,2016,841989,LEOFILIZADOR PARA LABORATORIO CON ACCESORIOS,1,40.0,3273.716
CA,California,2016,841989,LIOFILIZADOR-CALENTADOR-ENFRIADOR PARA LABORATORIO CON ACCESORIOS,1,21.0,3983.525
CA,California,2016,841989,TERMO RECICLADOR PARA LABORATORIO,1,41.0,945.526
CA,California,2016,842119,CENTRIFUGA PARA LABORATORIO,3,102.0,4146.116
CA,California,2016,842121,FILTRO PARA LIQUIDOS,1,58.0,181.085
CA,California,2016,842121,FILTROS DE LIQUIDOS,1,40.0,74.875
CA,California,2016,842381,BASCULA MANUAL,2,161.0,362.68899999999996
CA,California,2016,842381,BASCULAS MANUALES,5,316.0,6391.781000000001
CA,California,2016,842382,BASCULA ELECTRONICA,7,386.0,13205.395
CA,California,2016,842382,BASCULA ELECTRONICAS,1,49.0,683.366
CA,California,2016,842382,BASCULAS ELECTRONICAS,8,406.0,52639.353
CA,California,2016,842390,JUEGO DE PESAS PARA BASCULA CON 14,1,10.0,439.091
CA,California,2016,842390,PESA PARA BASCULA,2,6.0,151.618
CA,California,2016,842390,PESAS PARA BASCULA,1,6.0,498.864
CA,California,2016,847330,TARJETA DE CIRCUITOS,1,1.0,313.286
CA,California,2016,847989,DIVISOR DE GRANOS,1,56.0,1819.646
CA,California,2016,847989,MOLINO MANUAL,1,49.0,368.674
CA,California,2016,847989,MUESTREADOR DE LODOS CON ACCESORIOS,1,41.0,1295.24
CA,California,2016,847989,PIPETA DOSIFICADORA,1,49.0,327.566
CA,California,2016,847989,PIPETAS DOSIFICADORAS,6,345.0,24413.927
CA,California,2016,848140,VALVULA DE AIRE,1,1.0,21.796
CA,California,2016,848140,VALVULA DE PRESION,2,2.0,88.612
CA,California,2016,848140,VALVULAS DE AIRE,1,3.0,522.539
CA,California,2016,848190,PERNO PARA VALVULA DE PASO,1,1.0,232.911
CA,California,2016,851430,HORNO PARA LABORATORIO,9,529.0,29570.59
CA,California,2016,851490,JUEGO DE CHAROLAS PARA HORNO,1,3.0,66.993
CA,California,2016,851680,RESISTENCIA CALENTADORA,1,2.0,615.059
