state_abbr,state_name,year,population,source_dataset,source_url,source_note
AZ,Arizona,2022,7359197,ACS 1-year B01003_001E,"https://api.census.gov/data/2022/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AZ,Arizona,2023,7431344,ACS 1-year B01003_001E,"https://api.census.gov/data/2023/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AZ,Arizona,2024,7582384,ACS 1-year B01003_001E,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
AZ,Arizona,2025,7582384,Carry-forward from 2024 ACS,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B01003_001E&for=state:*",Used for 2025 monthly normalization
CA,California,2015,39144818,ACS 1-year B01003_001E,"https://api.census.gov/data/2015/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CA,California,2016,39250017,ACS 1-year B01003_001E,"https://api.census.gov/data/2016/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CA,California,2017,39536653,ACS 1-year B01003_001E,"https://api.census.gov/data/2017/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CA,California,2018,39557045,ACS 1-year B01003_001E,"https://api.census.gov/data/2018/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CA,California,2019,39512223,ACS 1-year B01003_001E,"https://api.census.gov/data/2019/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CA,California,2020,39538223,2020 Census PL P1_001N,"https://api.census.gov/data/2020/dec/pl?get=NAME,P1_001N&for=state:*",Decennial census count
CA,California,2021,39237836,ACS 1-year B01003_001E,"https://api.census.gov/data/2021/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CA,California,2022,39029342,ACS 1-year B01003_001E,"https://api.census.gov/data/2022/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CA,California,2023,38965193,ACS 1-year B01003_001E,"https://api.census.gov/data/2023/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CA,California,2024,39431263,ACS 1-year B01003_001E,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CA,California,2025,39431263,Carry-forward from 2024 ACS,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B01003_001E&for=state:*",Used for 2025 monthly normalization
CO,Colorado,2015,5456574,ACS 1-year B01003_001E,"https://api.census.gov/data/2015/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CO,Colorado,2016,5540545,ACS 1-year B01003_001E,"https://api.census.gov/data/2016/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CO,Colorado,2017,5607154,ACS 1-year B01003_001E,"https://api.census.gov/data/2017/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CO,Colorado,2018,5695564,ACS 1-year B01003_001E,"https://api.census.gov/data/2018/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CO,Colorado,2019,5758736,ACS 1-year B01003_001E,"https://api.census.gov/data/2019/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CO,Colorado,2020,5773714,2020 Census PL P1_001N,"https://api.census.gov/data/2020/dec/pl?get=NAME,P1_001N&for=state:*",Decennial census count
CO,Colorado,2021,5812069,ACS 1-year B01003_001E,"https://api.census.gov/data/2021/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CO,Colorado,2022,5839926,ACS 1-year B01003_001E,"https://api.census.gov/data/2022/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CO,Colorado,2023,5877610,ACS 1-year B01003_001E,"https://api.census.gov/data/2023/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CO,Colorado,2024,5957494,ACS 1-year B01003_001E,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CO,Colorado,2025,5957494,Carry-forward from 2024 ACS,"https://api.census.gov/data/2024/acs/acs1?get=NAME,B01003_001E&for=state:*",Used for 2025 monthly normalization
CT,Connecticut,2015,3590886,ACS 1-year B01003_001E,"https://api.census.gov/data/2015/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CT,Connecticut,2016,3576452,ACS 1-year B01003_001E,"https://api.census.gov/data/2016/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CT,Connecticut,2017,3588184,ACS 1-year B01003_001E,"https://api.census.gov/data/2017/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
CT,Connecticut,2018,3572665,ACS 1-year B01003_001E,"https://api.census.gov/data/2018/acs/acs1?get=NAME,B01003_001E&for=state:*",Annual estimate
